name,site,category,phone,adress,city,postal_code,latitude,longitude,rating,reviews,working_hours,location_link
Apteka Gencijana,Not available,Pharmacy,+389 47 612 031,"4th of November, Bitola",Bitola,Not available,41.0262847,21.3428662,4,1,"{""Monday"": ""7:30AM-9:30PM"", ""Tuesday"": ""7:30AM-9:30PM"", ""Wednesday"": ""7:30AM-9:30PM"", ""Thursday"": ""7:30AM-9:30PM"", ""Friday"": ""7:30AM-9:30PM"", ""Saturday"": ""7:30AM-9:30PM"", ""Sunday"": ""8AM-1PM""}","https://www.google.com/maps/place/Apteka+Gencijana/@41.0262847,21.3428662,14z/data=!4m8!1m2!2m1!1sApteka+Gencijana!3m4!1s0x135724fa92fe665f:0x25b2b3d6c094017!8m2!3d41.0262847!4d21.3428662"
Zegin Bitola Bolnica,http://www.zegin.com.mk/,Pharmacy,+389 47 253 300,"28F9+WX5, Partizanska, Bitola",Bitola,Not available,41.0247531,21.3199883,4.6,10,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-4PM""}","https://www.google.com/maps/place/Zegin+Bitola+Bolnica/@41.0247531,21.3199883,14z/data=!4m8!1m2!2m1!1sZegin+Bitola+Bolnica!3m4!1s0x13572510a9268fe1:0xcafa540ff8d6587e!8m2!3d41.0247531!4d21.3199883"
Еурофарм,http://eurofarm.com.mk/,Pharmacy,+389 47 258 288,"Bitola 7000, Ignjat Atanasovski b.b, Bitola 7000",Bitola,7000,41.026582,21.312939,4.6,11,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-10PM""}","https://www.google.com/maps/place/%D0%95%D1%83%D1%80%D0%BE%D1%84%D0%B0%D1%80%D0%BC/@41.026582,21.312939,14z/data=!4m8!1m2!2m1!1s%D0%95%D1%83%D1%80%D0%BE%D1%84%D0%B0%D1%80%D0%BC!3m4!1s0x13572513eb1381f3:0x2b38209586f388d!8m2!3d41.026582!4d21.312939"
Pharmacy Viola,Not available,Pharmacy,+389 47 222 235,"Filip II Makedonski 37, Bitola",Bitola,Not available,41.03566,21.3403046,4.5,6,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-5PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Pharmacy+Viola/@41.03566,21.3403046,14z/data=!4m8!1m2!2m1!1sPharmacy+Viola!3m4!1s0x135724563a1f8d8f:0x303e39220387eaa4!8m2!3d41.03566!4d21.3403046"
Apteka Gencijana2 Bitola,Not available,Pharmacy,+389 47 612 041,"ул. бр.72, Цар Самоил, Bitola",Bitola,Not available,41.0301887,21.3304804,5,1,"{""Monday"": ""7:30AM-9:30PM"", ""Tuesday"": ""7:30AM-9:30PM"", ""Wednesday"": ""7:30AM-9:30PM"", ""Thursday"": ""7:30AM-9:30PM"", ""Friday"": ""7:30AM-9:30PM"", ""Saturday"": ""7:30AM-9:30PM"", ""Sunday"": ""8AM-1PM""}","https://www.google.com/maps/place/Apteka+Gencijana2+Bitola/@41.0301887,21.3304804,14z/data=!4m8!1m2!2m1!1sApteka+Gencijana2+Bitola!3m4!1s0x1357250269e7d3f5:0x745f8e8aecb8cdae!8m2!3d41.0301887!4d21.3304804"
Apteka Ema Farm,https://apteka.pluspharma.mk/emafarm,Pharmacy,+389 47 612 485,"Solunska 258, Bitola 7000",Bitola,7000,41.0256504,21.3376562,5,3,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Apteka+Ema+Farm/@41.025650399999996,21.337656199999998,14z/data=!4m8!1m2!2m1!1sApteka+Ema+Farm!3m4!1s0x135724fcacc16ad5:0xd98cc6403b1dc843!8m2!3d41.025650399999996!4d21.337656199999998"
Zegin Farm,http://www.zegin.com.mk/,Pharmacy,+389 47 222 140,"Partizanska 14, Bitola",Bitola,Not available,41.0236957,21.3394408,4,2,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-9PM""}","https://www.google.com/maps/place/Zegin+Farm/@41.0236957,21.3394408,14z/data=!4m8!1m2!2m1!1sZegin+Farm!3m4!1s0x135724e49257d763:0xca10b543a3524137!8m2!3d41.0236957!4d21.3394408"
Zegin,http://www.zegin.de/,Pharmacy,+389 47 202 601,"28HQ+G68, Bitola",Bitola,Not available,41.0287936,21.3380885,3.2,12,"{""Monday"": ""7AM-10PM"", ""Tuesday"": ""7AM-10PM"", ""Wednesday"": ""7AM-10PM"", ""Thursday"": ""7AM-10PM"", ""Friday"": ""7AM-10PM"", ""Saturday"": ""7AM-10PM"", ""Sunday"": ""Closed""}","https://www.google.com/maps/place/Zegin/@41.0287936,21.338088499999998,14z/data=!4m8!1m2!2m1!1sZegin!3m4!1s0x135724fc7615e16d:0x2f5c456909038e31!8m2!3d41.0287936!4d21.338088499999998"
Zegin Farm,http://www.zegin.com.mk/,Pharmacy,+389 47 222 234,"28G7+RHJ, Vasko Karanǵelevski, Bitola",Bitola,Not available,41.0270827,21.3138856,3.7,6,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-9PM""}","https://www.google.com/maps/place/Zegin+Farm/@41.0270827,21.3138856,14z/data=!4m8!1m2!2m1!1sZegin+Farm!3m4!1s0x13572513da323c19:0x6c8dfb9790cd35af!8m2!3d41.0270827!4d21.3138856"
Zegin Sirok Sokak,http://www.zegin.com.mk/,Pharmacy,+389 47 233 683,"28JP+245, 27th of March, Bitola",Bitola,Not available,41.0300182,21.3353671,5,1,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-10PM""}","https://www.google.com/maps/place/Zegin+Sirok+Sokak/@41.0300182,21.3353671,14z/data=!4m8!1m2!2m1!1sZegin+Sirok+Sokak!3m4!1s0x135724fc33792ab7:0xbc4413f0510e93e!8m2!3d41.0300182!4d21.3353671"
Eurofarm,http://aptekieurofarm.com.mk/,Апотека,+389 47 212 575,"28HG+FFW, Abdul K. Pasha, Bitola 7000",Bitola,7000,41.0287392,21.3261959,4.9,7,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-6PM""}","https://www.google.com/maps/place/Eurofarm/@41.0287392,21.3261959,14z/data=!4m8!1m2!2m1!1sEurofarm!3m4!1s0x13572504a7523c8b:0xfb6d4eff07ad1f33!8m2!3d41.0287392!4d21.3261959"
